USAF,Site Name,State,Latitude,Longitude,Avg hourly ETR in 2005 (Wh/m^2),Avg hourly METSTAT in 2005 (Wh/m^2),rand
724105,STAUNTON/SHENANDOAH,VA,38.267,-78.9,337.4349315,66.71586758,0.590695414
726499,ESTHERVILLE MUNI,IA,43.4,-94.75,316.0722603,60.33527397,0.591131465
726400,MILWAUKEE MITCHELL INTL AP,WI,42.95,-87.9,318.0194064,73.66050228,0.597109266
727530,FARGO HECTOR INTERNATIONAL AP,ND,46.933,-96.817,300.3605023,55.99828767,0.598407299
727910,ASTORIA REGIONAL AIRPORT,OR,46.15,-123.883,303.9027397,58.59041096,0.600888219
722570,FORT HOOD,TX,31.133,-97.717,363.6666667,80.24269406,0.601290572
723150,ASHEVILLE REGIONAL ARPT,NC,35.433,-82.533,348.3726027,71.55445205,0.602117599
725846,TRUCKEE-TAHOE,CA,39.317,-120.133,333.2221461,65.27899543,0.602338859
724580,CONCORDIA BLOSSER MUNI AP,KS,39.55,-97.65,332.2761416,59.82100457,0.604378864
727474,EVELETH MUNI (AWOS),MN,47.4,-92.5,298.2288813,57.39589041,0.604723201
726550,ST CLOUD REGIONAL ARPT,MN,45.55,-94.05,306.5898402,59.96164384,0.605073953
722040,MELBOURNE REGIONAL AP,FL,28.117,-80.65,373.3889269,83.64326484,0.605134452
726196,MILLINOCKET MUNICIPAL AP,ME,45.65,-68.683,306.1506849,55.74349315,0.60633221
723403,LITTLE ROCK ADAMS FIELD,AR,34.75,-92.233,350.9130137,78.29920091,0.606531338
725565,COLUMBUS MUNI,NE,41.45,-97.333,324.4044521,62.81792237,0.6071561
724273,PARKERSBURG WOOD COUNTY AP,WV,39.35,-81.433,333.0869863,71.30376712,0.609913159
725525,HASTINGS MUNICIPAL,NE,40.6,-98.433,327.9599315,59.09805936,0.609961713
745980,LANGLEY AFB,VA,37.083,-76.35,342.0849315,79.36757991,0.610967238
722683,SIERRA BLANCA RGNL,NM,33.467,-105.533,355.5675799,48.91004566,0.611053205
722345,MERIDIAN NAAS,MS,32.55,-88.567,358.806621,83.1510274,0.612689801
725029,OXFORD (AWOS),CT,41.483,-73.133,324.2638128,66.37796804,0.612799734
727504,AITKIN NDB(AWOS),MN,46.55,-93.683,302.1019406,59.25011416,0.613794129
724373,TERRE HAUTE HULMAN REGIONAL A,IN,39.45,-87.3,332.6811644,66.79920091,0.614437667
724760,GRAND JUNCTION WALKER FIELD,CO,39.133,-108.533,333.9679224,56.37226027,0.615108068
725197,UTICA ONEIDA COUNTY AP,NY,43.15,-75.383,317.156621,62.41792237,0.615877646
724290,DAYTON INTERNATIONAL AIRPORT,OH,39.9,-84.217,330.8504566,69.79965753,0.617068571
725130,WILKES-BARRE SCRANTON INTL AP,PA,41.333,-75.733,324.9005708,69.41484018,0.617071607
722390,FORT POLK AAF,LA,31.05,-93.183,363.9441781,84.47431507,0.620394418
723540,OKLAHOMA CITY TINKER AFB,OK,35.417,-97.383,348.4380137,76.0489726,0.623971456
727476,BAUDETTE INTERNATIONAL AP,MN,48.717,-94.6,292.1679224,56.23093607,0.624168421
723445,FAYETTEVILLE DRAKE FIELD,AR,36,-94.167,346.2392694,64.86210046,0.626075149
722927,CARLSBAD/PALOMAR,CA,33.133,-117.283,356.7593607,65.73321918,0.626734509
725660,SCOTTSBLUFF W B HEILIG FIELD,NE,41.867,-103.6,322.6487443,51.57020548,0.630912207
724084,BELMAR ASC,NJ,40.183,-74.067,329.6873288,66.25079909,0.63121653
725780,POCATELLO REGIONAL AP,ID,42.917,-112.567,318.1555936,59.54954338,0.631370297
722526,COTULLA FAA AP,TX,28.45,-99.217,372.353653,71.51369863,0.634975069
724010,RICHMOND INTERNATIONAL AP,VA,37.517,-77.317,340.3986301,79.21940639,0.635348752
723346,JACKSON MCKELLAR-SIPES REGL A,TN,35.6,-88.917,347.7458904,68.62363014,0.636000477
726567,NEW ULM MUNI (AWOS),MN,44.317,-94.5,312.061758,61.57945205,0.637553845
726904,ROSEBURG REGIONAL AP,OR,43.233,-123.35,316.7961187,55.80593607,0.63819987
726498,FAIR FIELD,IA,41.05,-91.983,326.0849315,65.28915525,0.63840007
724830,SACRAMENTO EXECUTIVE ARPT,CA,38.5,-121.5,336.5084475,57.00810502,0.645557923
722710,TRUTH OR CONSEQUENCES MUNI AP,NM,33.233,-107.267,356.4045662,45.55684932,0.646108522
726959,AURORA STATE,OR,45.25,-122.767,307.9321918,58.45559361,0.646933295
723145,HICKORY REGIONAL AP,NC,35.733,-81.383,347.2476027,67.66575342,0.648490382
727923,HOQUIAM AP,WA,46.983,-123.933,300.1347032,56.36130137,0.651228169
699604,YUMA MCAS,AZ,32.65,-114.617,358.4577626,67.49098174,0.651688529
723566,MCALESTER MUNICIPAL AP,OK,34.9,-95.783,350.3573059,62.94360731,0.653491687
727686,WOLF POINT INTL [FORT PECK - SURFRAD],MT,48.31,-105.1,294.0510274,50.1890411,0.654686893
725830,WINNEMUCCA MUNICIPAL ARPT,NV,40.9,-117.8,326.7140411,50.65376712,0.655239262
742070,GRAY AAF,WA,47.083,-122.583,299.6760274,68.88789954,0.657739975
724354,SOMERSET(AWOS),KY,38,-84.6,338.4949772,71.25490868,0.657759266
722175,WARNER ROBINS AFB,GA,32.633,-83.6,358.5205479,84.54429224,0.657780987
722904,CHULA VISTA BROWN FIELD NAAS,CA,32.583,-116.983,358.697032,60.5053653,0.657995468
722070,SAVANNAH INTL AP,GA,32.117,-81.2,360.3107306,77.38059361,0.658171705
727340,SAULT STE MARIE SANDERSON FIE,MI,46.467,-84.35,302.4696347,54.78995434,0.658387311
725486,BOONE MUNI,IA,42.05,-93.85,321.8738584,62.14155251,0.658665072
746710,FORT CAMPBELL AAF,KY,36.667,-87.483,343.6898402,81.23436073,0.660762257
722146,GAINESVILLE REGIONAL AP,FL,29.7,-82.283,368.3884703,77.00696347,0.661150437
722885,SANTA MONICA MUNI,CA,34.017,-118.45,353.5886986,63.28378995,0.662523691
724286,ZANESVILLE MUNICIPAL AP,OH,39.95,-81.9,330.6430365,69.53378995,0.66385057
723407,JONESBORO MUNI,AR,35.833,-90.65,346.8714612,70.38812785,0.66385567
726797,BOZEMAN GALLATIN FIELD,MT,45.8,-111.15,305.4799087,54.97773973,0.66447485
724454,FARMINGTON,MO,37.767,-90.4,339.4130137,63.06141553,0.66481916
722286,TUSCALOOSA MUNICIPAL AP,AL,33.217,-87.617,356.4533105,72.89783105,0.666556175
725476,DECORAH,IA,43.283,-91.733,316.576484,64.03847032,0.668913576
724288,OHIO STATE UNIVERSI,OH,40.067,-83.067,330.1591324,69.19052511,0.669285903
724080,PHILADELPHIA INTERNATIONAL AP,PA,39.867,-75.233,330.9803653,75.09417808,0.669943273
726585,MANKATO(AWOS),MN,44.217,-93.917,312.5035388,61.11232877,0.673957782
723083,FRANKLIN NAAS,VA,36.7,-76.9,343.5623288,70.49851598,0.674530399
724075,MILLVILLE MUNICIPAL AP,NJ,39.367,-75.083,333.0203196,67.52694064,0.674583187
725088,BEVERLY MUNI,MA,42.583,-70.917,319.5932648,61.20034247,0.676629535
723815,DAGGETT BARSTOW-DAGGETT AP,CA,34.85,-116.8,350.5405251,42.20844749,0.676674237
726560,FERGUS FALLS(AWOS),MN,46.283,-96.15,303.301484,59.0716895,0.676758255
724140,CHARLESTON YEAGER ARPT,WV,38.383,-81.583,336.9754566,79.01769406,0.676828505
727535,JAMESTOWN MUNICIPAL ARPT,ND,46.917,-98.683,300.4384703,56.15924658,0.677064809
723415,MEMORIAL FLD,AR,34.467,-93.1,351.9501142,67.84771689,0.678218778
726350,GRAND RAPIDS KENT COUNTY INT',MI,42.883,-85.517,318.308105,72.85582192,0.679380904
726547,GLENWOOD (ASOS),MN,45.65,-95.317,306.1527397,59.42636986,0.679635522
747810,MOODY AFB/VALDOSTA,GA,30.967,-83.2,364.2219178,88.17808219,0.680016822
747750,TYNDALL AFB,FL,30.067,-85.583,367.2018265,87.18025114,0.681559555
722039,FORT LAUDERDALE,FL,26.2,-80.167,379.1103881,87.70353881,0.683014547
724400,SPRINGFIELD REGIONAL ARPT,MO,37.233,-93.383,341.5020548,63.64417808,0.684997202
726566,PIPESTONE (AWOS),MN,43.983,-96.317,313.5336758,59.45707763,0.685024056
723418,TEXARKANA WEBB FIELD,AR,33.45,-94,355.6284247,69.74018265,0.685736693
